name,email,userId,collegeNameGrad,graduationDegree,collegeName,postGraduationDegree,previousOrganisation,previousOrganisationPosition,currentOrganizationName,currentOrganisationPosition,divisionName,departmentName,country,region,city,birthDate,skills,,unique_skills,unique_colleges,unique_company,unique_regions
sohrab saran,sohrab@gmail.com,sohrabs,indian institute of management,masters in business administration,indian institute of management,strategy and finance,numino labs,cloud architect,crowdian technologies,product manager,core product,product,poland,emea,warsaw,23-12-1995,angular,,,jadavpur university,cw capital investments,
payal mittal,payal@gmail.com,payalm,jadavpur university,bachelor of engineering,jadavpur university,computer science and engineering,randstad technologies pvt ltd,assistant manager- business development ,"fubeus technology pvt ltd, bangalore ",product designer ,core product,engineering,india,asia,delhi,03-05-2002,python,,,kalinga university,marseilles,
rohandoctor,rohan@gmail.com,rohand,kalinga university,"bachelors degree, business and commerce",kalinga university,business studies,citi ,credit strategist - quantitative research,goldman sachs ,machine learning engineer,core product,engineering,poland,emea,warsaw,18-09-1995,javascript,,,manipal institute of technology,sap,
sjernigan,sjeringan@gmail.com,stevej,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,cw capital investments,director,orchard strategic advisors,strategy & business development specialist ,core product,sales,india,asia,bengalure,09-02-1993,java,,,"maulana azad national institute of technology, bhopal",samsung r&d institute bangalore,
nic rockwood,nic@gmail.com,nicr,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer and communications,marseilles,senior bartender / training manager,the lovesick production company,analyst,core product,engineering,usa,americas,nashville,05-12-1994,reactjs,,,midamerica nazarene university,tech mahindra,
semih ã‡.,semih@gmail.com,semihc,"maulana azad national institute of technology, bhopal",bachelor of engineering,"maulana azad national institute of technology, bhopal",computer science and engineering,sap,ux visual designer,sapient global markets,ciso,core product,engineering,usa,americas,kansas city,12-11-1990,c++,,,nitte mahalinga adyantaya memorial institute of technology,infosys,
musa ahmed,musa@gmail.com,musaa,midamerica nazarene university,bachelor of arts,midamerica nazarene university,management & human relations,goldman sachs,vice president,zamask technologies,product designer ,core product,design,india,asia,bengaluru,24-08-2001,angular,,,pes university,tcs,
sheetal singhal,sheetal@gmail.com,sheetals,nitte mahalinga adyantaya memorial institute of technology,bachelor of engineering,nitte mahalinga adyantaya memorial institute of technology,computer science and engineering,cw capital investments,credit strategist - quantitative research,directi,engineer,core product,engineering,turkey,asia,antalya,17-05-2000,java,,,"shri ramdeobaba kamla nehru engineering college, nagpur",mindtree,
aman gupta,aman@gmail.com,amang,pes university,bachelor of engineering,pes university,computer science and engineering,citi ,director,samsung r&d institute bangalore,product designer ,core product,design,usa,americas,new york,25-10-1996,python,,,st. joseph's college of commerce, citi bank europe plc,
jeanette de la torre- duran,jeanette@gmail.com,jeanetted,"shri ramdeobaba kamla nehru engineering college, nagpur",bachelor of engineering,"shri ramdeobaba kamla nehru engineering college, nagpur",computer science,goldman sachs,summer analyst,niantic inc,co-head of engineering,core product,engineering,india,asia,bengaluru,13-06-2002,reactjs,,,the pennsylvania state university,ubs,
srijan chattopadhyay,srijan@gmail.com,srijanc,st. joseph's college of commerce,bachelor of commerce,st. joseph's college of commerce,finance,samsung r&d institute bangalore,software engineering intern,samsung r&d institute bangalore,associate,core product,engineering,usa,americas,new york,24-04-1990,python,,,"ubi, brussels",trevipay,
akash gupta,akash@gmail.com,akashg,the pennsylvania state university,bachelore of science,the pennsylvania state university,finance and international business,cw capital investments,credit strategist - quantitative research,goldman sachs,analyst,core product,engineering,usa,americas,new york,03-02-1995,javascript,,,university of pennsylvania ,weavit,
alfredo vargas,alfredo@gmail.com,alfredov,"ubi, brussels",masters in business administration,"ubi, brussels",project management,goldman sachs,summer analyst,los angeles department of water and power,co-head of engineering,core product,engineering,usa,americas,new york,06-05-1997,angular,,,warsaw military university of technology,capgemini technology services india limited,
adithya k v,adithya@gmail.com,adithyakv,university of pennsylvania ,bachelor of arts,university of pennsylvania ,health and societies,morgan stanley,director,sap,analyst,core product,engineering,india,asia,delhi,20-03-1990,java,,,warsaw university of technology,crowdian technologies,
claudia,claudia@gmail.com,claudiab,warsaw military university of technology,bachelor of science,warsaw military university of technology,computer science,tech mahindra,credit strategist - quantitative research,citi ,sales,core product,sales,hong kong,asia,hong kong,30-06-1992,c++,,,ecole polytechnique,"fubeus technology pvt ltd, bangalore",
christian smith,christian@gmail.com,christians,warsaw university of technology,masters of science,warsaw university of technology,computer science,randstad technologies pvt ltd,credit strategist - quantitative research,infosys,associate,core product,engineering,usa,americas,new york,30-08-1991,python,,,moscow aviation institute,goldman sachs,
eugen denisenko,eugen@gmail.com,eugend,pes university,bachelor of commerce,pes university,finance,capgemini,cloud architect,sap,devops,core product,engineering,georgia,emea,tbilisi,24-09-1999,reactjs,,,nmam institute of technology,orchard strategic advisors,
denis volkov,denis@gmail.com,denisv,midamerica nazarene university,bachelor of technology,midamerica nazarene university,project management,infosys,credit strategist - quantitative research,citi ,associate,core product,engineering,usa,americas,new york,14-07-1991,python,,,stanford university,the lovesick production company,
husam e,husam@gmail.com,husame,warsaw university of technology,bachelor of commerce,warsaw university of technology,fluid dynamics,tcs,associate engineer,tech mahindra,associate,core product,engineering,ukraine,emea,kyiv,26-04-1994,javascript,,,fordham university,sapient global markets,
mikhail popkov,mikhail@gmail.com,mikhailp,ecole polytechnique,master of science,ecole polytechnique,strategy and finance,mindtree,director,rosst - tv advertising company,associate,core product,engineering,india,asia,bengaluru,22-02-1990,java,,,,zamask technologies,
joyce,joyce@gmail.com,joycer,the pennsylvania state university,bachelor of engineering,the pennsylvania state university,computer science,tech mahindra,cloud architect,infosys,associate,core product,engineering,india,asia,bangalore,24-06-1996,python,,,,directi,
michael juskowicz,michael@gmail.com,michaelj,indian institute of management,bachelor of commerce,indian institute of management,strategy and finance,mindtree,credit strategist - quantitative research,tech mahindra,vice president,core product,engineering,india,asia,bengaluru,26-01-1994,reactjs,,,,niantic inc,
rafael babaev,rafael@gmail.com,rafaelb,moscow aviation institute,bachelors of technology,moscow aviation institute,mathematics & computer science,tcs,associate engineer,infosys,engineer,core product,engineering,poland,emea,warsaw,25-01-1991,python,,,,los angeles department of water and power,
rishab singhi,rishabsinghi@gmail.com,rishavs,nmam institute of technology,bachelor of science,nmam institute of technology,electrical and computer engineering,cw capital investments,senior bartender / training manager,sap,associate,core product,engineering,india,asia,bengaluru,30-06-1995,c++,,,,rosst - tv advertising company,
diana shiling,diana@gmail.com,dianas,manipal institute of technology,bachelor of commerce,manipal institute of technology,fluid dynamics,randstad technologies pvt ltd,cloud architect,infosys,associate,core product,engineering,usa,americas,new york,26-12-1992,angular,,,,cardinal health,
shivam shekhar,shivam@gmail.com,shivams,moscow aviation institute,bachelor of engineering,moscow aviation institute,fluid dynamics,mindtree,director,tech mahindra,devops,core product,engineering,india,asia,new york,10-05-1996,java,,,,oracle corp.,
alexey tsarev,aleexey@gmail.com,alexeyt,kalinga university,bachelors of technology,kalinga university,electrical and computer engineering,randstad technologies pvt ltd,senior bartender / training manager,sap,associate,core product,engineering,india,asia,bengaluru,20-07-1996,javascript,,,,louisa,
roman tseyko,roman@gmail.com,romant,"ubi, brussels",bachelor of science,"ubi, brussels",finance,cw capital investments,associate engineer,tech mahindra,analyst,core product,engineering,india,asia,bengaluru,10-11-2001,java,,,,,
martin schwartz,martin@gmail.com,martins,stanford university,bachelor of arts,stanford university,international relations / economics,mindtree,director,cardinal health,co-head of engineering,core product,engineering,usa,americas,delhi,27-07-2001,angular,,,,,
chip welsh,chip@gmail.com,chipw,fordham university,bachelor of science,fordham university,international finance,sap,director,oracle corp.,associate,core product,engineering,india,asia,new york,26-02-1994,c++,,,,,
arkaprabha,arkaprabha@gmail.com,arkaprabhab,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,cw capital investments,senior bartender / training manager,louisa,head of product,core product,product,usa,americas,san francisco,01-06-1994,reactjs,,,,,
arsh,arsh@gmail.com,arshd,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,randstad technologies pvt ltd,cloud architect,louisa,engineer,core product,engineering,india,asia,delhi,29-11-2001,python,,,,,
jeet,jeet@gmail.com,jeetk,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,sap,senior bartender / training manager,louisa,devops,core product,engineering,india,americas,bangalore,16-02-2000,java,,,,,
vineel,vineel@gmail.com,vineelr,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,mindtree,associate engineer,louisa,software engineer intern,core product,engineering,india,asia,new york,23-10-1990,javascript,,,,,
prajwal,prajwal@gmail.com,prajwalh,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,sap,vice president,louisa,software engineer intern,core product,engineering,india,asia,delhi,26-08-2001,angular,,,,,
yash,yash@gmail.com,yashr,manipal institute of technology,bachelor of engineering,manipal institute of technology,computer science,cw capital investments,vice president,louisa,software engineer intern,core product,engineering,usa,americas,new york,16-07-2001,angular,,,,,
nuthan,nuthan@gmail.com,nuthanh,nmam institute of technology,bachelor of engineering,nmam institute of technology,computer science,sap,director,louisa,analyst,core product,product,india,asia,delhi,04-03-1995,c++,,,,,
saurabh,saurabhk@gmail.com,saurabhk,nmam institute of technology,bachelor of engineering,nmam institute of technology,computer science,randstad technologies pvt ltd,associate engineer,louisa,cro,core product,sales,usa,americas,new york,15-06-1999,javascript,,,,,
akshay,akshay@gmail.com,akshayp,nmam institute of technology,bachelor of engineering,nmam institute of technology,computer science,mindtree,director,louisa,engineer,core product,product,usa,americas,new york,15-08-2000,java,,,,,
rashmi,rashmi@gmail.com,rashmib,nmam institute of technology,bachelor of engineering,nmam institute of technology,computer science,sap,associate engineer,louisa,devops,core product,engineering,usa,americas,delhi,20-10-2001,python,,,,,
numan,numan@gmail.com,numann,nmam institute of technology,bachelor of engineering,nmam institute of technology,computer science,randstad technologies pvt ltd,cloud architect,louisa,software engineer intern,core product,engineering,india,asia,bangalore,16-10-1991,c++,,,,,
vinol,vinol@gmail.com,vinolf,nmam institute of technology,bachelor of engineering,nmam institute of technology,computer science,cw capital investments,vice president,louisa,software engineer intern,core product,engineering,india,asia,bangalore,08-04-1998,reactjs,,,,,
